member_name,reading,party,faction,constituency,election_count,updated_at
逢沢一郎,あいさわ いちろう,自由民主党,自由民主党・無所属の会,岡山1,14,2026-05-19
青木ひとみ,あおき ひとみ,参政党,参政党,（比）北関東,1,2026-05-19
青柳仁士,あおやぎ ひとし,日本維新の会,日本維新の会,大阪14,3,2026-05-19
青山繁晴,あおやま しげはる,自由民主党,自由民主党・無所属の会,兵庫8,1,2026-05-19
青山周平,あおやま しゅうへい,自由民主党,自由民主党・無所属の会,愛知12,5,2026-05-19
赤澤亮正,あかざわ りょうせい,自由民主党,自由民主党・無所属の会,鳥取2,8,2026-05-19
赤羽一嘉,あかば かずよし,中道改革連合,中道改革連合・無所属,（比）近畿,11,2026-05-19
あかま二郎,あかま じろう,自由民主党,自由民主党・無所属の会,神奈川14,7,2026-05-19
秋葉賢也,あきば けんや,自由民主党,自由民主党・無所属の会,（比）東北,8,2026-05-19
浅田眞澄美,あさだ ますみ,自由民主党,自由民主党・無所属の会,（比）九州,1,2026-05-19
浅野哲,あさの さとし,国民民主党,国民民主党・無所属クラブ,茨城5,4,2026-05-19
東国幹,あずま くによし,自由民主党,自由民主党・無所属の会,北海道6,3,2026-05-19
東徹,あずま とおる,日本維新の会,日本維新の会,大阪3,2,2026-05-19
畦元将吾,あぜもと しょうご,自由民主党,自由民主党・無所属の会,東京6,3,2026-05-19
麻生太郎,あそう たろう,自由民主党,自由民主党・無所属の会,福岡8,16,2026-05-19
阿部圭史,あべ けいし,日本維新の会,日本維新の会,兵庫2,2,2026-05-19
阿部司,あべ つかさ,日本維新の会,日本維新の会,（比）東京,3,2026-05-19
あべ俊子,あべ としこ,自由民主党,自由民主党・無所属の会,（比）中国,8,2026-05-19
阿部弘樹,あべ ひろき,自由民主党,自由民主党・無所属の会,（比）九州,3,2026-05-19
有田芳生,ありた よしふ,中道改革連合,中道改革連合・無所属,（比）東北,2,2026-05-19
安藤たかお,あんどう たかお,自由民主党,自由民主党・無所属の会,東京28,3,2026-05-19
飯泉嘉門,いいずみ かもん,国民民主党,国民民主党・無所属クラブ,（比）四国,1,2026-05-19
五十嵐清,いがらし きよし,自由民主党,自由民主党・無所属の会,栃木2,3,2026-05-19
池下卓,いけした たく,日本維新の会,日本維新の会,大阪10,3,2026-05-19
池畑浩太朗,いけはた こうたろう,日本維新の会,日本維新の会,（比）近畿,3,2026-05-19
伊佐進一,いさ しんいち,中道改革連合,中道改革連合・無所属,（比）近畿,5,2026-05-19
石井啓一,いしい けいいち,無所属,無所属,（比）北関東,11,2026-05-19
石井拓,いしい たく,自由民主党,自由民主党・無所属の会,愛知13,2,2026-05-19
石川昭政,いしかわ あきまさ,自由民主党,自由民主党・無所属の会,（比）北関東,5,2026-05-19
石川勝,いしかわ まさる,参政党,参政党,（比）近畿,1,2026-05-19
石坂太,いしざか まさる,自由民主党,自由民主党・無所属の会,栃木4,1,2026-05-19
石田真敏,いしだ まさとし,自由民主党,自由民主党・無所属の会,（比）近畿,10,2026-05-19
石原宏高,いしはら ひろたか,自由民主党,自由民主党・無所属の会,東京3,7,2026-05-19
石原正敬,いしはら まさたか,自由民主党,自由民主党・無所属の会,三重3,2,2026-05-19
石破茂,いしば しげる,自由民主党,自由民主党・無所属の会,鳥取1,14,2026-05-19
石橋林太郎,いしばし りんたろう,自由民主党,自由民主党・無所属の会,広島3,3,2026-05-19
泉健太,いずみ けんた,中道改革連合,中道改革連合・無所属,京都3,10,2026-05-19
一谷勇一郎,いちたに ゆういちろう,日本維新の会,日本維新の会,（比）近畿,2,2026-05-19
市村浩一郎,いちむら こういちろう,日本維新の会,日本維新の会,（比）近畿,6,2026-05-19
井出庸生,いで ようせい,自由民主党,自由民主党・無所属の会,長野3,6,2026-05-19
伊藤恵介,いとう けいすけ,参政党,参政党,（比）東海,1,2026-05-19
伊藤聡,いとう さとし,自由民主党,自由民主党・無所属の会,（比）南関東,1,2026-05-19
伊藤信太郎,いとう しんたろう,自由民主党,自由民主党・無所属の会,（比）東北,8,2026-05-19
伊藤忠彦,いとう ただひこ,自由民主党,自由民主党・無所属の会,愛知8,7,2026-05-19
伊藤達也,いとう たつや,自由民主党,自由民主党・無所属の会,東京22,11,2026-05-19
